Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,Age,Buggy
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,582,1,1,582,582,582.00,582,582,582.00,6,No
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,181,1,1,181,181,181.00,181,181,181.00,6,No
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,33,1,1,33,33,33.00,33,33,33.00,6,No
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,323,1,1,323,323,323.00,323,323,323.00,6,No
3.0.0,src/java/main/org/apache/zookeeper/server/util/Profiler.java,40,4,1,87,40,21.75,40,38,10.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/util/SerializeUtils.java,105,1,1,105,105,105.00,105,105,105.00,9,No
3.0.0,src/java/main/org/apache/zookeeper/version/util/VerGen.java,120,6,2,167,109,27.83,120,109,20.00,23,No
3.0.0,src/java/test/org/apache/zookeeper/TestableZooKeeper.java,72,2,1,72,54,36.00,72,54,36.00,1,Yes
3.0.0,src/java/test/org/apache/zookeeper/server/CRCTest.java,155,1,1,155,155,155.00,155,155,155.00,6,No
3.0.0,src/java/test/org/apache/zookeeper/server/DataTreeUnitTest.java,56,1,1,56,56,56.00,56,56,56.00,9,No
3.0.0,src/java/test/org/apache/zookeeper/server/DeserializationPerfTest.java,106,3,1,113,88,37.67,106,88,35.33,20,No
3.0.0,src/java/test/org/apache/zookeeper/server/SerializationPerfTest.java,113,4,2,123,94,30.75,113,94,28.25,20,No
3.0.0,src/java/test/org/apache/zookeeper/server/ZooKeeperServerTest.java,91,5,2,174,70,34.80,91,70,18.20,20,No
3.0.0,src/java/test/org/apache/zookeeper/test/ACLTest.java,155,1,1,155,155,155.00,155,155,155.00,7,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/AsyncOps.java,500,3,3,505,487,168.33,500,487,166.67,12,No
3.0.0,src/java/test/org/apache/zookeeper/test/AsyncOpsTest.java,178,2,2,180,178,90.00,178,178,89.00,12,No
3.0.0,src/java/test/org/apache/zookeeper/test/AsyncTest.java,277,8,3,483,208,60.38,277,208,34.63,20,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/ClientBase.java,382,13,3,429,146,33.00,382,146,29.38,20,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/ClientTest.java,737,13,3,1103,336,84.85,737,336,56.69,20,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/CreateModeTest.java,81,1,1,81,81,81.00,81,81,81.00,12,No
3.0.0,src/java/test/org/apache/zookeeper/test/DBSizeTest.java,84,2,1,84,66,42.00,84,66,42.00,2,No
3.0.0,src/java/test/org/apache/zookeeper/test/DataTreeTest.java,62,7,3,86,58,12.29,62,58,8.86,23,No
3.0.0,src/java/test/org/apache/zookeeper/test/DisconnectableZooKeeper.java,54,1,1,54,54,54.00,54,54,54.00,12,No
3.0.0,src/java/test/org/apache/zookeeper/test/EventTypeTest.java,50,1,1,50,50,50.00,50,50,50.00,9,No
3.0.0,src/java/test/org/apache/zookeeper/test/FLETest.java,321,2,2,363,193,181.50,321,193,160.50,9,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/GenerateLoad.java,505,6,2,535,479,89.17,505,479,84.17,20,No
3.0.0,src/java/test/org/apache/zookeeper/test/IntegrityCheck.java,232,5,1,250,212,50.00,232,212,46.40,20,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/KeeperStateTest.java,50,1,1,50,50,50.00,50,50,50.00,9,No
3.0.0,src/java/test/org/apache/zookeeper/test/LETest.java,132,2,2,135,131,67.50,132,131,66.00,10,No
3.0.0,src/java/test/org/apache/zookeeper/test/NullDataTest.java,72,1,1,72,72,72.00,72,72,72.00,2,No
3.0.0,src/java/test/org/apache/zookeeper/test/OOMTest.java,149,7,2,172,124,24.57,149,124,21.29,23,No
3.0.0,src/java/test/org/apache/zookeeper/test/QuorumTest.java,185,8,3,251,88,31.38,185,88,23.13,20,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/RecoveryTest.java,209,9,3,275,129,30.56,209,129,23.22,23,No
3.0.0,src/java/test/org/apache/zookeeper/test/SessionTest.java,187,9,3,289,100,32.11,187,100,20.78,20,No
3.0.0,src/java/test/org/apache/zookeeper/test/SledgeHammer.java,115,6,2,129,98,21.50,115,98,19.17,20,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/StatTest.java,205,2,2,205,198,102.50,205,198,102.50,8,No
3.0.0,src/java/test/org/apache/zookeeper/test/SyncCallTest.java,96,3,2,118,114,39.33,96,114,32.00,16,No
3.0.0,src/java/test/org/apache/zookeeper/test/TestHammer.java,62,5,2,70,43,14.00,62,43,12.40,20,Yes
3.0.0,src/java/test/org/apache/zookeeper/test/UpgradeTest.java,110,1,1,110,110,110.00,110,110,110.00,6,No
3.0.0,src/java/test/org/apache/zookeeper/test/WatchedEventTest.java,95,1,1,95,95,95.00,95,95,95.00,9,No
3.0.0,src/java/test/org/apache/zookeeper/test/WatcherFuncTest.java,460,5,2,572,436,114.40,460,436,92.00,20,No
3.0.0,src/java/test/org/apache/zookeeper/test/WatcherTest.java,346,6,3,393,163,65.50,346,163,57.67,10,Yes
